scientificName	class_color	order_color	phylum	class	order
Gonatopus_flavifemur	"#FF7F00"	"#E7298A"	Arthropoda	Insecta	Hymenoptera
Copidosoma_floridanum	"#FF7F00"	"#E7298A"	Arthropoda	Insecta	Hymenoptera
Eupelmus_urozonus	"#FF7F00"	"#E7298A"	Arthropoda	Insecta	Hymenoptera
Eurytoma_adleriae	"#FF7F00"	"#E7298A"	Arthropoda	Insecta	Hymenoptera
Leptopilina_heterotoma	"#FF7F00"	"#E7298A"	Arthropoda	Insecta	Hymenoptera
Odontomachus_brunneus	"#FF7F00"	"#E7298A"	Arthropoda	Insecta	Hymenoptera
Dufourea_novaeangliae	"#FF7F00"	"#E7298A"	Arthropoda	Insecta	Hymenoptera
Venturia_canescens	"#FF7F00"	"#E7298A"	Arthropoda	Insecta	Hymenoptera
Megachile_rotundata	"#FF7F00"	"#E7298A"	Arthropoda	Insecta	Hymenoptera
Megastigmus_dorsalis	"#FF7F00"	"#E7298A"	Arthropoda	Insecta	Hymenoptera
Ormyrus_pomaceus	"#FF7F00"	"#E7298A"	Arthropoda	Insecta	Hymenoptera
Orussus_abietinus	"#FF7F00"	"#E7298A"	Arthropoda	Insecta	Hymenoptera
Apocrypta_bakeri	"#FF7F00"	"#E7298A"	Arthropoda	Insecta	Hymenoptera
Athalia_rosae	"#FF7F00"	"#E7298A"	Arthropoda	Insecta	Hymenoptera
Torymus_auratus	"#FF7F00"	"#E7298A"	Arthropoda	Insecta	Hymenoptera
Trichogramma_pretiosum	"#FF7F00"	"#E7298A"	Arthropoda	Insecta	Hymenoptera
Vespula_vulgaris	"#FF7F00"	"#E7298A"	Arthropoda	Insecta	Hymenoptera
Trissolcus_japonicus	"#FF7F00"	"#E7298A"	Arthropoda	Insecta	Hymenoptera
Quadrastichus_mendeli	"#FF7F00"	"#E7298A"	Arthropoda	Insecta	Hymenoptera
Trichopria_drosophilae	"#FF7F00"	"#E7298A"	Arthropoda	Insecta	Hymenoptera
Sirex_nitobei	"#FF7F00"	"#E7298A"	Arthropoda	Insecta	Hymenoptera
Andrena_camellia	"#FF7F00"	"#E7298A"	Arthropoda	Insecta	Hymenoptera
Brachymeria_lasus	"#FF7F00"	"#E7298A"	Arthropoda	Insecta	Hymenoptera
Cephalcia_chuxiongica	"#FF7F00"	"#E7298A"	Arthropoda	Insecta	Hymenoptera
Ampulex_compressa	"#FF7F00"	"#E7298A"	Arthropoda	Insecta	Hymenoptera
Limenitis_camilla	"#FF7F00"	"#800026"	Arthropoda	Insecta	Lepidoptera
Dendrolimus_kikuchii	"#FF7F00"	"#800026"	Arthropoda	Insecta	Lepidoptera
Pectinophora_gossypiella	"#FF7F00"	"#800026"	Arthropoda	Insecta	Lepidoptera
Blastobasis_adustella	"#FF7F00"	"#800026"	Arthropoda	Insecta	Lepidoptera
Bombyx_mori	"#FF7F00"	"#800026"	Arthropoda	Insecta	Lepidoptera
Carposina_sasakii	"#FF7F00"	"#800026"	Arthropoda	Insecta	Lepidoptera
Hyposmocoma_kahamanoa	"#FF7F00"	"#800026"	Arthropoda	Insecta	Lepidoptera
Ostrinia_furnacalis	"#FF7F00"	"#800026"	Arthropoda	Insecta	Lepidoptera
Habrosyne_pyritoides	"#FF7F00"	"#800026"	Arthropoda	Insecta	Lepidoptera
Laspeyria_flexula	"#FF7F00"	"#800026"	Arthropoda	Insecta	Lepidoptera
Biston_betularia	"#FF7F00"	"#800026"	Arthropoda	Insecta	Lepidoptera
Conopomorpha_cramerella	"#FF7F00"	"#800026"	Arthropoda	Insecta	Lepidoptera
Megathymus_ursus	"#FF7F00"	"#800026"	Arthropoda	Insecta	Lepidoptera
Dendrolimus_punctatus	"#FF7F00"	"#800026"	Arthropoda	Insecta	Lepidoptera
Lycaena_phlaeas	"#FF7F00"	"#800026"	Arthropoda	Insecta	Lepidoptera
Noctua_pronuba	"#FF7F00"	"#800026"	Arthropoda	Insecta	Lepidoptera
Pheosia_tremula	"#FF7F00"	"#800026"	Arthropoda	Insecta	Lepidoptera
Papilio_xuthus	"#FF7F00"	"#800026"	Arthropoda	Insecta	Lepidoptera
Colias_croceus	"#FF7F00"	"#800026"	Arthropoda	Insecta	Lepidoptera
Plutella_xylostella	"#FF7F00"	"#800026"	Arthropoda	Insecta	Lepidoptera
Endotricha_flammealis	"#FF7F00"	"#800026"	Arthropoda	Insecta	Lepidoptera
Calephelis_nemesis	"#FF7F00"	"#800026"	Arthropoda	Insecta	Lepidoptera
Antheraea_yamamai	"#FF7F00"	"#800026"	Arthropoda	Insecta	Lepidoptera
Deilephila_porcellus	"#FF7F00"	"#800026"	Arthropoda	Insecta	Lepidoptera
Tinea_trinotella	"#FF7F00"	"#800026"	Arthropoda	Insecta	Lepidoptera
Adoxophyes_honmai	"#FF7F00"	"#800026"	Arthropoda	Insecta	Lepidoptera
Zygaena_filipendulae	"#FF7F00"	"#800026"	Arthropoda	Insecta	Lepidoptera
Telchin_licus	"#FF7F00"	"#800026"	Arthropoda	Insecta	Lepidoptera
